[2025-05-22T16:43:01.165Z] 课程: 芭蕾基训, 原价: 250.00, 新价格: 200, 预约人数: 0
[2025-05-22T16:43:01.170Z] 课程: 芭蕾基训, 原价: 100.00, 新价格: 200, 预约人数: 0
[2025-05-22T16:43:01.174Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-22T16:43:01.177Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-22T16:48:59.022Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 180, 预约人数: 1
[2025-05-22T16:48:59.056Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-22T16:48:59.057Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-22T16:48:59.058Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-22T16:53:10.003Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 180, 预约人数: 1
[2025-05-22T16:53:10.033Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-22T16:53:10.034Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-22T16:58:43.010Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 160, 预约人数: 2
[2025-05-22T16:58:43.043Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-22T17:02:36.171Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-23T06:09:11.946Z] 课程: 芭蕾基训, 原价: 250.00, 新价格: 200, 预约人数: 0
[2025-05-23T07:25:40.411Z] 课程: 芭蕾基训, 原价: 250.00, 新价格: 200, 预约人数: 0
[2025-05-23T07:25:40.428Z] 课程: 芭蕾基训, 原价: 250.00, 新价格: 180, 预约人数: 1
[2025-05-23T07:30:00.541Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-23T07:30:00.581Z] 课程: 芭蕾基训, 原价: 180.00, 新价格: 180, 预约人数: 1
[2025-05-23T07:35:00.445Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-23T07:35:00.476Z] 课程: 芭蕾基训, 原价: 180.00, 新价格: 180, 预约人数: 1
[2025-05-23T07:40:00.495Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-23T07:40:00.526Z] 课程: 芭蕾基训, 原价: 180.00, 新价格: 180, 预约人数: 1
[2025-05-23T07:45:00.329Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-23T07:45:00.354Z] 课程: 芭蕾基训, 原价: 180.00, 新价格: 180, 预约人数: 1
[2025-05-23T07:50:00.306Z] 课程: 芭蕾基训, 原价: 200.00, 新价格: 200, 预约人数: 0
[2025-05-23T07:50:00.328Z] 课程: 芭蕾基训, 原价: 180.00, 新价格: 180, 预约人数: 1
[2025-05-23T17:25:00.215Z] 课程: 芭蕾基训, 原价: 250.00, 新价格: 180, 预约人数: 1
[2025-05-23T17:25:00.227Z] 课程: 芭蕾基训, 原价: 250.00, 新价格: 180, 预约人数: 1
[2025-05-23T17:30:00.233Z] 课程: 芭蕾基训, 原价: 180.00, 新价格: 160, 预约人数: 2
[2025/05/24 01:40:19] 课程: 芭蕾基训, 原价: 180.00, 新价格: 135, 预约人数: 1
[2025/05/24 01:40:19] 课程: 芭蕾基训, 原价: 160.00, 新价格: 120, 预约人数: 2
